,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,51.62,61,54,5.97,AU,1595473200
1,Bluff,-46.6,168.3333,44.56,75,90,23.26,NZ,1595473200
2,Lüderitz,-26.6481,15.1594,65.48,37,0,5.14,NA,1595473200
3,Albany,42.6001,-73.9662,71.26,92,89,4.16,US,1595473200
4,Pula,44.8683,13.8481,74.46,72,76,4.97,HR,1595473200
5,Butaritari,3.0707,172.7902,83.48,76,84,14.83,KI,1595473200
6,Kondinskoye,59.6481,67.41,61.68,66,0,10.33,RU,1595473200
7,Bambous Virieux,-20.3428,57.7575,68.31,62,49,19.8,MU,1595473200
8,Genhe,50.7833,121.5167,87.85,42,80,8.52,CN,1595473200
9,Mataura,-46.1927,168.8643,40.15,85,98,10.07,NZ,1595473200
10,Sangmélima,2.9333,11.9833,65.88,99,87,2.98,CM,1595473200
11,Tuktoyaktuk,69.4541,-133.0374,43.02,77,43,5.46,CA,1595473200
12,Yining,29.0361,114.5636,93.78,58,40,6.26,CN,1595473200
13,East London,-33.0153,27.9116,63.79,31,0,7.7,ZA,1595473200
14,Puerto Ayora,-0.7393,-90.3518,68.81,89,79,9.8,EC,1595473200
15,Rikitea,-23.1203,-134.9692,66.81,67,100,17.36,PF,1595473200
16,Saryozek,44.3583,77.9753,81.48,34,32,8.84,KZ,1595473200
17,Barstow,34.8986,-117.0228,87.98,13,1,18.03,US,1595473200
18,Sistranda,63.7256,8.834,52.11,85,69,15.12,NO,1595473200
19,Faanui,-16.4833,-151.75,77.34,77,9,18.34,PF,1595473200
20,Pangnirtung,66.1451,-65.7125,53.67,68,100,4.59,CA,1595473200
21,Chui,-33.6971,-53.4616,63.9,94,100,6.26,UY,1595473200
22,Ribeira Grande,38.5167,-28.7,70.3,69,15,3.91,PT,1595473200
23,New Norfolk,-42.7826,147.0587,50.85,68,86,5.48,AU,1595473200
24,Bandarbeyla,9.4942,50.8122,78.31,66,8,25.64,SO,1595473200
25,Ponta do Sol,32.6667,-17.1,68.67,67,11,1.12,PT,1595473200
26,Leningradskiy,69.3833,178.4167,64.29,38,100,7.96,RU,1595473200
27,Punta Arenas,-53.15,-70.9167,33.42,90,19,7.67,CL,1595473200
28,La Santisima Trinidad,-14.8333,-64.9,76.66,59,17,2.04,BO,1595473200
29,Zhigansk,66.7697,123.3711,65.44,67,10,18.12,RU,1595473200
30,Turukhansk,65.8167,87.9833,63.91,53,100,10.29,RU,1595473200
31,Mar del Plata,-38.0023,-57.5575,53.49,97,95,19.73,AR,1595473200
32,Dikson,73.5069,80.5464,40.01,91,77,8.77,RU,1595473200
33,Santa Cruz de la Sierra,-17.8,-63.1667,73.8,72,40,6.17,BO,1595473200
34,Sabha,27.0377,14.4283,74.08,39,0,11.14,LY,1595473200
35,Saint Paul Harbor,57.79,-152.4072,62.85,55,33,15.77,US,1595473200
36,Ilulissat,69.2167,-51.1,48.27,70,91,3.49,GL,1595473200
37,Asău,46.4333,26.4,60.93,92,76,1.14,RO,1595473200
38,Vaini,-21.2,-175.2,73.54,74,73,10.83,TO,1595473200
39,Tasiilaq,65.6145,-37.6368,35.44,93,10,2.91,GL,1595473200
40,Busselton,-33.65,115.3333,59.49,74,59,15.99,AU,1595473200
41,Port Elizabeth,-33.918,25.5701,58.68,79,10,6.55,ZA,1595473200
42,Cape Town,-33.9258,18.4232,56.7,86,0,6.76,ZA,1595473200
43,Goderich,43.7501,-81.7165,69.35,88,2,6.64,CA,1595473200
44,Bonthe,7.5264,-12.505,76.6,89,100,5.7,SL,1595473200
45,Port Alfred,-33.5906,26.891,65.25,44,0,8.75,ZA,1595473200
